Light,,FvFm Control,,FvFm Bleaching,,YII Control,,YII Bleaching,,NPQ Control,,NPQ Bleaching,,NO Control,,NO Bleaching,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
25.675979085776518,10.038912255573905,,,,,,,,,,,,,,,,
26.811226464354093,7.302817674851667,,,,,,,,,,,,,,,,
28.32488963579086,7.302817674851667,,,,,,,,,,,,,,,,
28.987117273294437,12.775006836295688,,,,,,,,,,,,,,,,
29.36553306615363,40.13595264351693,,,,,,,,,,,,,,,,
29.743948859012825,64.76080387001548,,,,,,,,,,,,,,,,
29.791250833120223,157.7880196145668,,,,,,,,,,,,,,,,
29.93315675544242,253.5513299398399,,,,,,,,,,,,,,,,
30.216968600086815,343.84245110366896,,,,,,,,,,,,,,,,
30.500780444731205,439.6057614289425,,,,,,,,,,,,,,,,
30.831894263482994,570.9383013036029,,,,,,,,,,,,,,,,
31.11570610812739,661.229422467432,,,,,,,,,,,,,,,,
